title,author,isbn,edition,publisher,school_class,subject,section,notes,Unnamed: 9
BÃ¼cher werden  direkt an die SchÃ¼ler bekannt gegeben,,,2023,,S6FR,SWALS,FR,,
,,,2023,,S6FR,BYOD (Bring your own device),FR,,
"Affrescoitaliano. Corso dilingua di italiano per stranieri, B2 (volume)",M. Trifone â€“ A. Filippone â€“ A. Sgaglione,978-8800208499,2023,Mondadori Education Le monnier,S7DE,ITA L4 (NON FORMATA),DE,,
Wird vom Lehrer bekannt gegeben,,,2023,,S7DE,Politik/Soz,DE,,
"Texte, Themen und Strukturen -Fortsetzung",,978-3-06-043813-6,2023,Cornelsen,S7DE,DE L1 ,DE,,
Verena Kessler: Die Gespenster von Demmin,,978-3423627573,2023,,S7DE,DE L1 ,DE,,
Jakob Lenz: Die Soldaten,,978-1482600032,2023,,S7DE,DE L1 ,DE,,
,,978-3-19-001862-8,2023,Hueber,S7DE,,DE,,
,,978-3-19-011862-5,2023,Hueber,S7DE,,DE,,
,,978-3126669238,2023,Klett,S7DE,,DE,,
,,978-3-06-02148-2,2023,Cornelsen,S7DE,,DE,,
,,978-3407741028,2023,Gulliver Verlag,S7DE,,DE,,
Lengua y Literatura 2Â° Bto,,978-8414101810,2023,Santillana,S7DE,Spanisch L1,DE,,
Nuevo CompaÃ±eros 4 - Kursbuch,,978-84-17730-54-3,2023,SGEL,S7DE,Spanisch L3,DE,,
Objetivo DELE (B1),,978-31-911-45002,2023,SGEL,S7DE,Spanisch L3,DE,,
Mentira (Bibliothek),Care Santos,978-84-683-1577-5,2023,edebÃ©,S7DE,Spanisch L3,DE,,
Nuevo CompaÃ±eros 4 - Kursbuch,,978-84-17730-54-3,2023,SGEL,S7DE,Spanisch L4,DE,,
English File Upper Intermediate,Latham-KÃ¶nig,978-0194558747,2023,Oxford,S7DE,L3 English,DE,,
Foster (novel),Claire Keegan,978-0571255658,2023,,S7DE,L3 English,DE,,
bereits vorhanden,,,2023,,S7DE,Chemie,DE,,
LC Chemistry Live! Student Laboratory Notebook (same book as in S6),Declan Kennedy-Pat Walsch,978-1-78090-432-0,2023,Folens,S7DE,Chemistry Laboratory,DE,,
Wird vom Lehrer bekannt gegeben,,,2023,,S7DE,Mathematik-3stÃ¼ndig,DE,,
"Lambacher Schweizer Mathematik 10, Ausgabe Baden-WÃ¼rttemberg ab 2016 (schon vorhanden aus S5)",,978-3-12-735320-4,2023,Klett Verlag,S7DE,Mathematik-5stÃ¼ndig,DE,,
"Lambacher Schweizer Mathematik Kursstufe, Ausgabe Baden-WÃ¼rttemberg (schon vorhanden aus S6)",,978-3-12-735310-5,2023,Klett Verlag,S7DE,Mathematik-5stÃ¼ndig,DE,,
Die SchÃ¼ler benÃ¶tigen einen nicht grafischen und nicht programmierbaren wissenschaftlichen Taschenrechner. Bitte mit der Lehrkraft absprechen.,,,2023,,S7DE,Mathematik,DE,,
wird vom Lehrer bekannt gegeben,,,2023,,S7DE,Physik,DE,,
"Mastering Modern World History, 5th ed by Norman Lowe",,978-1137276940,2023,,S7DE,History 4 period,DE,,
GCSE Modern World History 2nd Edition by Ben Walsh,,978-0719577130,2023,,S7DE,History 2 period,DE,,
"Geschichte und Geschehen, Bd 9, Baden-WÃ¼rttemberg wird fortgefÃ¼hrt",,978-3-12-443240-7,2023,Klett Verlag,S7DE,"Geschichte, 2-stÃ¼ndig",DE,,
Economics Course Companion 2nd Edition,Blink & Dorton,978-019839000-8,2023,Oxford Press,S7DE,S7EN Economics 4 period,DE,,
Kolleg Ethik. neu,,978-3-661-22050-5,2023,Buchner Verlag ,S7DE,Philosophie 2-stÃ¼ndig,DE,,
Es werden diverse elektronische Bauteile benÃ¶tigt. Diese werden im Unterricht angeschafft. Pro Semester ist mit einem Betrag von bis zu 30â‚¬ zu rechnen.,,,2023,,S7DE,ICT,DE,,
Natura Oberstufe - Biologie fÃ¼r Gymnasien (bereits aus S6 vorhanden),,978-3-12-049131-6,2023,Ernst Klett Verlag,S7DE,Biologie 2h / 4h,DE,,
No book required,,,2023,,S7DE,S7EN Economics 2 period,DE,,
No book required,,,2023,,S7DE,S6EN Economics 2 period,DE,,
Economics: Course companion (IB) second addition,Jocelyn Blink & Ian Dorton ,ISBN 978-0-19 839000-8,2023,Oxford Uni Press,S7DE,S6&S7EN Economics 4 period,DE,,
Complete Economics for Cambridge IGCSE & O level 3rd addition,Dan Moynihan & Brian Titley,ISBN 10: 0198409702,2023,Oxford Uni Press,S7DE,S4&S5EN Economics 4 period,DE,,
kein Buch,,,2023,,S7DE,Economie (Deutsch) S4-S7,DE,,
"Tendances, mÃ©thode de FranÃ§ais C1 et C2","D.-N. Liakin, G. Michaud, F. Oliury",978-2-09-038537-3,2023,ClÃ© internationale,S7DE,Francais L2,DE,,
"Mensch und Politik, Sekundarstufe 2, B.-W. 11",Karin Herzig (Hrsg),978-3-14-118355-9,2023,Westermann,S7DE,7DFE Politik/Soz.,DE,,
Le Rapport de Brodeck,Philippe CLAUDEL,978-2253125723,2023,Livre de Poche,S7DE,FranÃ§ais L2 ,DE,,
GenÃ©ration B1 ,"M.-N. Cocton, P. Dauda",978-2278086351,2023,Didier,S7DE,Francais L3,DE,,
"Regarde les LumiÃ¨res, mon amour",Annie Ernaux,978-2080262301,2023,Etonnants classiques ,S7DE,Francais L3,DE,,
Affresco italiano. A1 (in possesso),"Trifone, Filippone, Sgaglione",9-788800-203319,2023,Le Monnier,S7DE,ITA L5,DE,,
Letteratura letterature. Guida storica (in possesso),G.Armellini/A. Colombo,978-8808338778,2023,Zanichelli,S7DE,ITA L1,DE,,
"G. Verga, Storia di una capinera (qualsiasi edizione)",,,2023,,S7DE,ITA L1,DE,,
"G. D'Annunzio, Il trionfo della morte (qualsiasi edizione)",,,2023,,S7DE,ITA L1 ,DE,,
"E. Flaiano, Tempo di uccidere (qualsiasi edizione)",,,2023,,S7DE,ITA L1 ,DE,,
No book required,,,2023,,S7DE,Geography 4 period,DE,,
kein Buch,,,2023,,S7DE,Geographie (Deutsch) 2 Std.,DE,,
TERRA Europa,,978-3-12-104703-1,2023,Klett,S7DE,Geographie (Deutsch) 4 Std.,DE,,
Set Text: The Importance of Being EarnestÂ ,Oscar WildeÂ ,Â 9780140436068Â ,2023,Penguin Classics,S7DE,English L2,DE,,
Supporting Text: Ten Short Stories,Roald Dahl,978-0140817799,2023,Penguin Student Edition,S7DE,English L2,DE,,
The Testaments,Margaret AtwoodÂ ,978-0385543781,2023,Nan A. Talese\, 1st edition,S7DE,English L2Advanced,DE,
Set Text: Top Girls (students already have a copy),Caryl Churchill,,2023,,S7DE,,DE,,
,,,2023,,S7DE,BYOD (Bring your own device),DE,,
wird von der Lehrerin bekannt gegeben,,,2023,,S7DE,Religion kath. ,DE,,
"Verlag: Malmberg, Talent Max havo/vwo Jahr 2, Buch A/B + online, ISBN: 978-94-020-55979",,,2023,,S7DE,NiederlÃ¤ndisch L1 S3,DE,,
Die SchÃ¼ler werden von den Lehrern versorgt oder die Titel werden von Lehrern bekannt gegeben,,,2023,,S7DE,SWALS,DE,,
Text to be confirmed,,,2023,,S7DE,Theatre English,DE,,
The Giver,Lois Lowry,978-0007263516,2023,HarperCollins,S7DE,English L3,DE,,
Economics Course Companion 2nd edition,Blink & Dorton,978-0-19-839000-8,2023,Oxford Uni Press,S7EN,S7EN Eco 4 period,EN,,
,,978-8800208499,2023,,S7EN,ITA L4 (NON FORMATA),EN,,
Wird vom Lehrer bekannt gegeben,,,2023,,S7EN,Politik/Soz,EN,,
Resources to be provided by the teacher,,,2023,,S7EN,Maths (3 Periods),EN,,
Resources to be provided by the teacher,,,2023,,S7EN,Maths (5 Periods),EN,,
Any calculator from the xl list in Teams which they have been using in S6,,,2023,,S7EN,Maths,EN,,
Aspekte Junior C1 Kursbuch (WeiterfÃ¼hrung),,978-3-12605258-0,2023,Klett,S7EN,DE L2,EN,,
Aspekte Junior C1 Ãœbungsbuch (WeiterfÃ¼hrung),,978-3-12-605259-7,2023,Klett,S7EN,DE L2,EN,,
Andre Kubiczek: Die Skizze eines Sommers,Andre Kubiczek,978-3499270840,2023,,S7EN,DE L2,EN,,
Grammatik Aktiv B2-C1 (WeiterfÃ¼hrung),,978-3-06-02148-2,2023,Cornelsen,S7EN,DE L2,EN,,
Daniel Glattauer: Gut gegen Nordwind,Daniel Glattauer,978-3-442465866,2023,,S7EN,DE L3,EN,,
Grammatik Alktiv B1+,,978-3060244706,2023,Cornelsen,S7EN,DE L3,EN,,
Physics for the IB Diploma,K.A. Tsokos,978-1-107-62819-9,2023,Cambridge University Press,S7EN,Physics,EN,,
Pearson Baccalaureate Chemistry Higher Level for the IB Diploma,Catrin Brown - Mike Ford,978-1447959755,2023,Pearson Education,S7EN,Chemistry ,EN,,
LC Chemistry Live! Student Laboratory Notebook* (same book as in S6),Declan Kennedy-Pat Walsch,978-1-78090-432-0,2023,Folens,S7EN,Chemistry Laboratory,EN,,
Lengua y Literatura 2Â° Bto,,978-8414101810,2023,Santillana,S7EN,Spanisch L1,EN,,
Nuevo CompaÃ±eros 4 - Kursbuch,,978-84-17730-54-3,2023,SGEL,S7EN,Spanisch L3,EN,,
Objetivo DELE (B1),,978-31-911-45002,2023,SGEL,S7EN, Spanisch L3,EN,,
Mentira (Biblioteca),Care Santos,978-84-683-1577-5,2023,edebÃ©,S7EN, Spanisch L3,EN,,
Nuevo CompaÃ±eros 4 - Kursbuch,,978-84-17730-54-3,2023,SGEL,S7EN,Spanisch L4,EN,,
BekendtgÃ¸res direkte af lÃ¦reren.,,,2023,,S7EN,"DAA L1, S2,4 & 6",EN,,
Advanced Biology,Michael Kent,978-0198392903,2023,Oxford University Press,S7EN,Biology (2 periods),EN,,
Biology: a global approach,N. Campbell,978-1292341637,2023,Pearson,S7EN,Biology (4 periods),EN,,
"Geschichte und Geschehen, Bd 9, Baden-WÃ¼rttemberg wird fortgefÃ¼hrt",,978-3-12-416510-7,2023,978-3-12-443240-7,S7EN,Geschichte,EN,,
,,,2023,,S7EN,Geographie,EN,,
GCSE Modern World History 2nd Edition by Ben Walsh,,978-0719577130,2023,,S7EN,History 2 period,EN,,
No book required,,,2023,,S7EN,Geography 4 period,EN,,
LC Chemistry Live! Student Laboratory Notebook,Declan Kennedy-Pat Walsch,978-1-7809-0432-0,2023,Folens,S7EN,Chemistry Laboratory,EN,,
"orders can be made through teacher, who will provide to place a bulk order to reduce shipping costs",,,2023,,S7EN,Chemistry Laboratory,EN,,
Theory of Knowledge for the IB Diploma Course Guide,,978-1108865982,2023,Cambridge University Press,S7EN,Philo 4 EN ,EN,,
Theory of Knowledge for the IB Diploma Course Guide,,978-1-857992915,2023,cambridge University Press978-1 108865982,S7EN,Philo 2EN,EN,,
Es werden diverse elektronische Bauteile benÃ¶tigt. Diese werden im Unterricht angeschafft. Pro Semester ist mit einem Betrag von bis zu 30â‚¬ zu rechnen.,,,2023,,S7EN,ICT,EN,,
"Tendances, mÃ©thode de FranÃ§ais C1 et C2","D.-N. Liakin, G. Michaud, F. Oliury",978-2-09-038537-3,2023,ClÃ© internationale,S7EN,FranÃ§ais L2 ,EN,,
Le Rapport de Brodeck,Philippe CLAUDEL,978-2253125723,2023,Livre de Poche,S7EN,FranÃ§ais L2 ,EN,,
"Mensch und Politik, Sekundarstufe II, B.-W. 11",Karin Herzig (Hrsg.),978-3-14-118355-9,2023,Westermann,S7EN,"Politik/Soz, 7DEF",EN,,
Regarde les lumiÃ¨res mon amour ,"Annie Ernaux, ",978-2080262301,2023,,S7EN,Francais L3,EN,,
,"De uanstÃ¦ndige af Leif Panduro, ISBN13: 9788702097719",,2023,,S7EN,Dansk L1 (Danish),EN,,
Affresco italiano. A1 (in possesso),"Trifone, Filippone, Sgaglione",9-788800-203319,2023,Le Monnier,S7EN,ITA L5,EN,,
Letteratura letterature. Guida storica (in possesso),G.Armellini/A. Colombo,978-8808338778,2023,Zanichelli,S7EN,ITA L1,EN,,
"G. Verga, Soria di una capinera (qualsiasi edizione)",,,2023,,S7EN,ITA L1,EN,,
"G. D'Annunzio, Il trionfo della morte (qualsiasi edizione)",,,2023,,S7EN,ITA L1,EN,,
"E. Flaiano, Tempo di uccidere (qualsiasi edizione)",,,2023,,S7EN,ITA L1,EN,,
No book required,,,2023,,S7EN,Ethics,EN,,
,,,2023,,S7EN,BYOD (Bring your own device),EN,,
Julius Caesar,William Shakespeare,978-1903436219,2023,The Arden Shakespeare,S7EN,English L1 ,EN,,
Great Expectations,Charles Dickens,978-0141198897,2023,Penguin English Library,S7EN,English L1 ,EN,,
Why be happy when you could be normal?,Jeanette Winterson,978-0802120878,2023,Grove Press,S7EN,English L1 ,EN,,
Text to be confirmed,,,2023,,S7EN,Theatre English,EN,,
Bibel,,,2023,,S7FR,S1-7 cath. Rel. ,FR,,
PAS DE LIVRE,,,2023,,S7FR,Biologie 2 pÃ©r.,FR,,
PAS DE LIVRE,,,2023,,S7FR,Biologie 4 pÃ©r.,FR,,
"Affrescoitaliano. Corso dilingua di italiano per stranieri, B2 (volume)",M. Trifone â€“ A. Filippone â€“ A. Sgaglione,978-8800208499,2023,,S7FR,ITA L4,FR,,
PAS DE LIVRE,,,2023,,S7FR,MATHS 3P,FR,,
PAS DE LIVRE ,,,2023,,S7FR,MATHS 5P,FR,,
Calculatrice Numworks,,,2023,,S7FR,MATHS 4P & 6P,FR,,
"Politik im Fokus, Kursstufe 2",,978-3-14-035966-5,2023,SchÃ¶ningh,S7FR,Politik/Soz.,FR,,
Aspekte Junior C1 Kursbuch (WeiterfÃ¼hrung),,978-3126052580,2023,Klett,S7FR,DE L2,FR,,
Aspekte Junior C1 Ãœbungsbuch (WeiterfÃ¼hrung),,978-3-126052597,2023,klett,S7FR,DE L2,FR,,
Skizze eines Sommers,AndrÃ© Kubiczek,978-3-499270840,2023,,S7FR,DE L2,FR,,
Grammatik Aktiv B2-C1 (WeiterfÃ¼hrung),,978-3-06-02148-2,2023,Cornelsen,S7FR,DE L2,FR,,
Daniel Glattauer: Gut gegen Nordwind,Daniel Glattauer,978-3-442465866,2023,,S7FR,DE L3,FR,,
Grammatik Aktiv B1+,,978-3060244706,2023,Cornelsen,S7FR,DE L3,FR,,
Nuevo CompaÃ±eros 4 - Kursbuch,,978-84-17730-54-3,2023,SGEL,S7FR,Spanisch L3,FR,,
Objetivo DELE (B1),,978-31-911-45002,2023,SGEL,S7FR,Spanisch L3,FR,,
Mentira (Bibliothek),Care Santos,978-84-683-1577-5,2023,edebÃ©,S7FR,Spanisch L3,FR,,
Nuevo CompaÃ±eros 4 - Kursbuch,,978-84-17730543,2023,SGEL,S7FR,Spanisch L4,FR,,
English File Upper Intermediate,Latham-KÃ¶nig,,2023,Oxford,S7FR,L3 English,FR,,
Blood Brothers (play),Willy Russell,978-0413767707,2023,Methuen Drama,S7FR,L3 English,FR,,
"Geschichte und Geschehen, Bd 9, Baden-WÃ¼rttemberg wird fortgefÃ¼hrt",,978-3-12-443240-7,2023,Klett,S7FR,Geschichte,FR,,
wird vom Lehrer bekannt gegeben,,,2023,,S7FR,Geographie,FR,,
"Mastering Modern World History, 5th ed by Norman Lowe",,978-1137276940,2023,,S7FR,History 4 period,FR,,
GCSE Modern World History 2nd Edition by Ben Walsh,,978-0719577130,2023,,S7FR,History 2 period,FR,,
Economics Course Companion 2nd Edition,Blink & Dorton,978-019839000-8,2023,Oxford press,S7FR,S7EN Economics 4 period,FR,,
Es werden diverse elektronische Bauteile benÃ¶tigt. Diese werden im Unterricht angeschafft. Pro Semester ist mit einem Betrag von bis zu 30â‚¬ zu rechnen.,,,2023,,S7FR,ICT,FR,,
Pas de livre ,,,2023,,S7FR,Physique,FR,,
Pas de livre ,,,2023,,S7FR,Chimie ,FR,,
LC Chemistry Live! Student Laboratory Notebook (same book as in S6),Declan Kennedy-Pat Walsch,978-1-78090-432-0,2023,Folens,S7FR,Chemistry Laboratory,FR,,
Oeuvres au programme,,,2023,,S7FR,FranÃ§ais L1,FR,,
 No book required,,,2023,,S7FR,S7EN Economics 2 period,FR,,
kein Buch,,,2023,,S7FR,Wirtschaft Deutsch S4-S7,FR,,
"Politik im Fokus,Kursstufe 2",Karin Herzig (Hrsg.),978-3-14-035966-5,2023,SchÃ¶ningh,S7FR,"Politik/Soz., 7DEF",FR,,
Affresco italiano. A1 (in possesso),"Trifone, Filippone, Sgaglione",9-788800-203319,2023,Le Monnier,S7FR,ITA L5,FR,,
Letteratura letterature. Guida storica (in possesso),G.Armellini/A. Colombo,978-8808338778,2023,Zanichelli,S7FR,ITA L1,FR,,
"G. Verga, Soria di una capinera (qualsiasi edizione)",,,2023,,S7FR,ITA L1,FR,,
"G. D'Annunzio, Il trionfo della morte (qualsiasi edizione)",,,2023,,S7FR,ITA L1,FR,,
"E. Flaiano, Tempo di uccidere (qualsiasi edizione)",,,2023,,S7FR,ITA L1,FR,,
No book required,,,2023,,S7FR,Geography 4 period,FR,,
Set Text: The Importance of Being EarnestÂ ,Oscar WildeÂ ,Â 9780140436068Â ,2023,Penguin Classics,S7FR,English L2,FR,,
Supporting Text: Ten Short Stories,Roald Dahl,978-0140817799,2023,Penguin Student Edition,S7FR,English L2,FR,,
The Testaments,Margaret AtwoodÂ ,978-0385543781,2023,Nan A. Talese\, 1st edition,S7FR,English L2Advanced,FR,
Set Text: Top Girls (students already have a copy),Caryl Churchill,,2023,,S7FR,,FR,,
,,,2023,,S7FR,BYOD (Bring your own device),FR,,
Text to be confirmed,,,2023,,S7FR,Theatre English,FR,,
The Giver,Lois Lowry,978-0007263516,2023,Harper Collins,S7FR,English L3,FR,,
